iter	RMSE
0	14.78789937
1	14.32491405
2	13.86186316
3	13.44708776
4	13.0423193
5	12.65453152
6	12.3012843
7	11.99184209
8	11.70637833
9	11.35464649
10	11.00742133
11	10.72529562
12	10.4693935
13	10.2011076
14	9.93757358
15	9.675904291
16	9.448663069
17	9.246052621
18	9.023671723
19	8.816190774
20	8.653327052
21	8.475281382
22	8.302353847
23	8.156138151
24	8.007756901
25	7.873411878
26	7.737031079
27	7.617062503
28	7.478875891
29	7.360216627
30	7.241083851
31	7.137142775
32	7.04603122
33	6.965105765
34	6.874528558
35	6.791847645
36	6.710535033
37	6.646300596
38	6.573709224
39	6.508668641
40	6.452432431
41	6.40381702
42	6.340970874
43	6.29496435
44	6.239358654
45	6.189491248
46	6.13444024
47	6.089630016
48	6.041051436
49	6.000632083
50	5.960515074
51	5.925604053
52	5.88766752
53	5.850482651
54	5.81728533
55	5.78580523
56	5.75884359
57	5.734257875
58	5.708203357
59	5.685153533
60	5.660603185
61	5.640404233
62	5.614187747
63	5.587370613
64	5.56572328
65	5.535419085
66	5.515568558
67	5.494637572
68	5.481950148
69	5.463882854
70	5.445851138
71	5.425951529
72	5.40837742
73	5.391705031
74	5.37602834
75	5.361013638
76	5.34871977
77	5.337835896
78	5.327841022
79	5.314553853
80	5.302089743
81	5.292811214
82	5.281994027
83	5.272748795
84	5.26059038
85	5.250944333
86	5.24006751
87	5.232197816
88	5.223124851
89	5.215030114
90	5.208657221
91	5.199716997
92	5.193098307
93	5.187300685
94	5.184565555
95	5.171118804
96	5.163228011
97	5.156668976
98	5.153562848
99	5.145132498
100	5.140163471
101	5.131204917
102	5.123957534
103	5.117655115
104	5.105197789
105	5.09702016
106	5.091767272
107	5.085505901
108	5.072461293
109	5.064062054
110	5.060443259
111	5.0533474
112	5.050081981
113	5.039270599
114	5.033174245
115	5.030469584
116	5.022931361
117	5.019366466
118	5.017473526
119	5.011688795
120	5.004762815
121	5.002188664
122	4.99449411
123	4.984338921
124	4.979692635
125	4.97242446
126	4.964849849
127	4.958417712
128	4.954848354
129	4.950507435
130	4.945787134
131	4.940626482
132	4.933691811
133	4.926052786
134	4.918591844
135	4.913016476
136	4.907721935
137	4.900706862
138	4.891477914
139	4.886930786
140	4.882177609
141	4.87709441
142	4.87111742
143	4.863466767
144	4.85878743
145	4.854991611
146	4.850737786
147	4.84769367
148	4.84301029
149	4.838715564
150	4.834995473
151	4.829682116
152	4.82099222
153	4.817712796
154	4.813542073
155	4.807179824
156	4.799696573
157	4.793746389
158	4.788424797
159	4.783474046
160	4.780098023
161	4.777544245
162	4.765937924
163	4.762510888
164	4.754957876
165	4.749449769
166	4.747058722
167	4.742491216
168	4.739599365
169	4.732019215
170	4.729482919
171	4.727864517
172	4.720326491
173	4.714836289
174	4.708465933
175	4.700605368
176	4.698805428
177	4.692981791
178	4.687954209
179	4.68604182
180	4.684948215
181	4.682599333
182	4.680698914
183	4.678553732
184	4.675300286
185	4.666801909
186	4.662759613
187	4.661026066
188	4.659066423
189	4.651140806
190	4.646103761
191	4.641258047
192	4.636775891
193	4.632058741
194	4.626321707
195	4.617064036
196	4.610467469
197	4.60947448
198	4.607184432
199	4.605941364
200	4.604022792
201	4.601091374
202	4.596487469
203	4.59488897
204	4.593307845
205	4.586074847
206	4.578993074
207	4.570341576
208	4.562261118
209	4.557755027
210	4.552103608
211	4.543982117
212	4.533442263
213	4.52849339
214	4.518339499
215	4.516986626
216	4.510347344
217	4.509369554
218	4.507731489
219	4.506568912
220	4.504326662
221	4.500417982
222	4.497159545
223	4.491361825
224	4.489478525
225	4.484136661
226	4.474625785
227	4.473579705
228	4.467396833
229	4.460356828
230	4.452502631
231	4.445770342
232	4.440151923
233	4.43187026
234	4.424070701
235	4.414900618
236	4.408021184
237	4.404742642
238	4.403011475
239	4.399879479
240	4.392599577
241	4.391462043
242	4.384691367
243	4.376153789
244	4.372278695
245	4.365154768
246	4.355891284
247	4.350602232
248	4.34773063
249	4.344420272
250	4.338456025
251	4.335886295
252	4.329252814
253	4.325957293
254	4.319675326
255	4.315684913
