iter	Passed	Remaining
0	0	198
1	1	168
2	1	165
3	2	154
4	2	146
5	3	143
6	3	138
7	4	138
8	4	135
9	5	133
10	5	131
11	6	130
12	6	129
13	7	128
14	7	128
15	8	128
16	9	127
17	9	126
18	10	125
19	10	124
20	11	123
21	11	122
22	12	124
23	12	123
24	13	122
25	14	124
26	14	124
27	15	123
28	15	123
29	16	121
30	16	120
31	17	119
32	17	118
33	17	117
34	18	116
35	18	115
36	19	114
37	19	113
38	20	112
39	20	111
40	20	110
41	21	109
42	21	108
43	22	107
44	22	106
45	23	105
46	23	104
47	23	103
48	24	102
49	24	102
50	25	101
51	25	100
52	26	99
53	26	99
54	26	98
55	27	97
56	27	97
57	28	96
58	28	95
59	29	95
60	29	94
61	30	93
62	30	93
63	30	92
64	31	92
65	31	91
66	32	90
67	32	90
68	33	90
69	33	89
70	34	89
71	34	88
72	35	87
73	35	87
74	35	86
75	36	86
76	36	85
77	37	85
78	37	84
79	38	83
80	38	83
81	38	82
82	39	82
83	39	81
84	40	80
85	40	80
86	41	79
87	41	79
88	42	79
89	42	79
90	43	78
91	43	78
92	44	77
93	44	77
94	44	76
95	45	75
96	45	75
97	46	74
98	46	73
99	47	73
100	47	72
101	47	72
102	48	71
103	48	71
104	49	70
105	49	69
106	49	69
107	50	68
108	50	68
109	51	67
110	51	67
111	51	66
112	52	66
113	52	65
114	53	65
115	53	64
116	53	63
117	54	63
118	54	62
119	54	62
120	55	61
121	55	61
122	56	60
123	56	60
124	56	59
125	57	59
126	57	58
127	58	58
128	58	57
129	59	57
130	59	56
131	59	56
132	60	55
133	60	55
134	61	54
135	61	54
136	61	53
137	62	53
138	62	52
139	63	52
140	63	51
141	64	51
142	64	50
143	64	50
144	65	49
145	65	49
146	66	48
147	66	48
148	66	48
149	67	47
150	67	47
151	68	46
152	68	46
153	68	45
154	69	45
155	69	44
156	70	44
157	70	43
158	71	43
159	71	43
160	72	42
161	72	42
162	73	41
163	73	41
164	74	40
165	74	40
166	74	39
167	75	39
168	75	39
169	76	38
170	76	38
171	77	37
172	77	37
173	77	36
174	78	36
175	78	35
176	79	35
177	79	34
178	79	34
179	80	33
180	80	33
181	81	32
182	81	32
183	81	32
184	82	31
185	82	31
186	82	30
187	83	30
188	83	29
189	84	29
190	84	28
191	84	28
192	85	27
193	85	27
194	86	26
195	86	26
196	87	26
197	87	25
198	88	25
199	88	24
200	88	24
201	89	23
202	89	23
203	90	22
204	90	22
205	90	22
206	91	21
207	91	21
208	92	20
209	92	20
210	93	19
211	93	19
212	93	18
213	94	18
214	94	18
215	95	17
216	95	17
217	95	16
218	96	16
219	96	15
220	97	15
221	97	14
222	97	14
223	98	14
224	98	13
225	99	13
226	99	12
227	100	12
228	100	11
229	101	11
230	101	10
231	101	10
232	102	10
233	102	9
234	103	9
235	103	8
236	104	8
237	104	7
238	104	7
239	105	7
240	105	6
241	106	6
242	107	5
243	107	5
244	108	4
245	108	4
246	108	3
247	109	3
248	109	3
249	110	2
250	110	2
251	110	1
252	111	1
253	111	0
254	112	0
255	112	0
