iter	RMSE
0	14.69052368
1	14.32885034
2	13.96066956
3	13.62528092
4	13.29098813
5	12.95973244
6	12.66228585
7	12.39898319
8	12.08968018
9	11.7999641
10	11.51354321
11	11.26624831
12	11.05009774
13	10.81263494
14	10.57719282
15	10.34363917
16	10.13662154
17	9.930859771
18	9.717459782
19	9.533452781
20	9.360911034
21	9.183624831
22	9.031320078
23	8.869603762
24	8.717771893
25	8.594656088
26	8.457156312
27	8.338490474
28	8.200603332
29	8.074125644
30	7.957130632
31	7.831274169
32	7.727111367
33	7.625408627
34	7.517978866
35	7.434668808
36	7.338776218
37	7.259124865
38	7.175395423
39	7.095589898
40	7.020383042
41	6.939353423
42	6.877294316
43	6.814603055
44	6.746459702
45	6.682324601
46	6.62375822
47	6.565481485
48	6.506956963
49	6.454954587
50	6.408766434
51	6.35184386
52	6.305660255
53	6.263006756
54	6.221970268
55	6.179923451
56	6.137175952
57	6.098283025
58	6.069015331
59	6.036353121
60	6.00536656
61	5.981473211
62	5.951284815
63	5.917641701
64	5.88843384
65	5.86371071
66	5.837844011
67	5.809927266
68	5.78888654
69	5.763048097
70	5.744581677
71	5.724984423
72	5.702616757
73	5.677807169
74	5.656617571
75	5.63973715
76	5.623373099
77	5.604611731
78	5.589931658
79	5.571576414
80	5.556107508
81	5.539893415
82	5.523368887
83	5.50871305
84	5.493009828
85	5.475788687
86	5.459020277
87	5.448359236
88	5.436308081
89	5.423376963
90	5.410922351
91	5.40033939
92	5.389174488
93	5.377326278
94	5.373933718
95	5.357519131
96	5.34732804
97	5.337590167
98	5.327693751
99	5.312249029
100	5.305547119
101	5.296446005
102	5.288265282
103	5.278979848
104	5.270259089
105	5.262413561
106	5.254319564
107	5.246529034
108	5.239109946
109	5.232243054
110	5.225593493
111	5.218299083
112	5.213712524
113	5.206668758
114	5.198346372
115	5.191359187
116	5.190258198
117	5.18464286
118	5.174255847
119	5.163561098
120	5.156871523
121	5.151304898
122	5.143740243
123	5.137998402
124	5.132772627
125	5.127424237
126	5.118437067
127	5.113218561
128	5.102501507
129	5.096554532
130	5.09044766
131	5.08512011
132	5.076583123
133	5.068747695
134	5.060021593
135	5.055992267
136	5.050011245
137	5.045631988
138	5.042368456
139	5.0383488
140	5.032366019
141	5.026924717
142	5.02053379
143	5.015374444
144	5.01014227
145	5.006120134
146	4.999408639
147	4.99166681
148	4.986893936
149	4.983315497
150	4.981050525
151	4.973352978
152	4.967405755
153	4.965275132
154	4.96158873
155	4.956135867
156	4.950552961
157	4.944587453
158	4.940051413
159	4.935259813
160	4.929884298
161	4.926240374
162	4.922441803
163	4.919432546
164	4.913798465
165	4.909097653
166	4.904961151
167	4.900697781
168	4.892453033
169	4.891138683
170	4.887572929
171	4.884269855
172	4.878504477
173	4.873329372
174	4.869933909
175	4.865225943
176	4.85882895
177	4.856332074
178	4.851304944
179	4.848021476
180	4.843628337
181	4.839697117
182	4.837022486
183	4.831134367
184	4.825985083
185	4.822990002
186	4.820101109
187	4.815118949
188	4.809576089
189	4.80651528
190	4.801587287
191	4.80000019
192	4.793338702
193	4.787840333
194	4.783858264
195	4.780850501
196	4.773439809
197	4.771145909
198	4.768336973
199	4.764276522
200	4.762739435
201	4.761090862
202	4.755149837
203	4.753361364
204	4.751100867
205	4.747163161
206	4.743594957
207	4.737689691
208	4.735292797
209	4.731099251
210	4.72622026
211	4.722765963
212	4.719832065
213	4.715215155
214	4.712188738
215	4.707022051
216	4.70377333
217	4.701396423
218	4.699312433
219	4.693625977
220	4.690334541
221	4.686237394
222	4.683693913
223	4.679355586
224	4.673478408
225	4.672430706
226	4.668113715
227	4.664492723
228	4.662957206
229	4.657638976
230	4.653963972
231	4.650408881
232	4.645399058
233	4.639371704
234	4.636958899
235	4.628836728
236	4.623463757
237	4.621628149
238	4.61807714
239	4.616426703
240	4.613645038
241	4.610221715
242	4.605207729
243	4.598870213
244	4.593335979
245	4.590152842
246	4.587273982
247	4.582706277
248	4.5790248
249	4.577299055
250	4.576694217
251	4.572645688
252	4.568950147
253	4.563683914
254	4.558025644
255	4.552142686
256	4.549967672
257	4.544645478
258	4.540675683
259	4.535269551
260	4.53033653
261	4.527853719
262	4.526557908
263	4.522180155
264	4.518926954
265	4.513882713
266	4.51055426
267	4.509481188
268	4.50530583
269	4.504017098
270	4.501788749
271	4.494361828
272	4.489484777
273	4.483827268
274	4.47797883
275	4.474901671
276	4.472543372
277	4.468921926
278	4.465888021
279	4.46145682
