iter	Passed	Remaining
0	47	47151
1	47	23900
2	48	16137
3	49	12256
4	49	9918
5	50	8363
6	51	7270
7	51	6438
8	52	5777
9	53	5249
10	53	4820
11	54	4454
12	54	4145
13	55	3879
14	55	3646
15	56	3445
16	56	3267
17	57	3109
18	57	2971
19	57	2841
20	58	2725
21	58	2617
22	59	2519
23	59	2426
24	60	2343
25	60	2266
26	60	2195
27	61	2128
28	61	2066
29	62	2009
30	62	1954
31	62	1901
32	63	1857
33	63	1813
34	64	1772
35	64	1730
36	65	1692
37	65	1656
38	65	1623
39	66	1590
40	66	1558
41	67	1529
42	67	1501
43	67	1474
44	68	1446
45	68	1420
46	68	1395
47	69	1372
48	69	1349
49	69	1328
50	70	1306
51	70	1286
52	71	1270
53	71	1250
54	71	1231
55	72	1214
56	72	1196
57	72	1180
58	73	1165
59	73	1149
60	73	1134
61	74	1120
62	74	1107
63	74	1093
64	75	1080
65	75	1070
66	76	1063
67	76	1054
68	77	1050
69	78	1040
70	78	1031
71	79	1022
72	79	1014
73	80	1006
74	80	997
75	81	989
76	81	982
77	82	973
78	82	966
79	83	958
80	83	950
81	84	943
82	84	936
83	85	928
84	85	920
85	86	914
86	86	907
87	86	900
88	87	892
89	87	886
90	88	879
91	88	873
92	89	868
93	89	864
94	90	857
95	90	853
96	91	848
97	91	843
98	92	837
99	92	831
100	92	827
101	93	821
102	93	816
103	94	811
104	94	807
105	95	801
106	95	797
107	96	793
108	96	788
109	96	784
110	97	779
111	97	774
112	98	769
113	98	766
114	99	761
115	99	757
116	99	751
117	100	748
118	100	745
119	101	742
120	101	738
121	102	735
122	102	732
123	103	729
124	103	725
125	104	723
126	104	720
127	105	716
128	105	713
129	106	710
130	106	706
131	107	703
132	107	700
133	107	696
134	108	694
135	108	690
136	109	687
137	109	684
138	110	681
139	110	678
140	110	674
141	111	671
142	111	669
143	112	666
144	112	664
145	113	661
146	113	659
147	114	656
148	114	654
149	115	652
150	115	649
151	115	646
152	116	645
153	117	643
154	117	640
155	117	638
156	118	635
157	118	633
158	119	630
159	119	628
160	120	625
161	120	623
162	120	621
163	121	618
164	121	616
165	122	614
166	122	612
167	123	609
168	123	607
169	123	604
170	124	603
171	124	601
172	125	602
173	126	600
174	126	598
175	127	595
176	127	593
177	128	591
178	128	589
179	128	587
180	129	584
181	129	582
182	130	580
